timestamp,prediction,score
2026-07-01 20:02:47.335222,0,0
2026-07-01 20:03:24.944449,1,100
2026-07-01 20:11:35.226775,1,100
2026-07-01 20:13:27.813909,0,15
2026-07-01 20:18:58.408277,1,100
2026-07-01 20:44:16.679395,0,15
2026-07-01 20:45:31.247548,0,15
2026-07-01 20:45:54.908600,1,100
